,index,occgrpnm2,%,year,candidate
0,"Education, training, library",7695,0.1491625959525471,16,clinton
1,Legal,6613,0.1281887260603241,16,clinton
2,Arts and entertainment,6452,0.12506784523532605,16,clinton
3,Healthcare practitioners,5532,0.1072342405210514,16,clinton
4,Management,3868,0.07497867721175468,16,clinton
5,Business and financial,3298,0.06392959603008451,16,clinton
6,Computer and mathematical,2840,0.05505156237884779,16,clinton
7,"Life, physical, social science",2764,0.053578351554625106,16,clinton
8,Sales and related,2754,0.053384508025122124,16,clinton
9,Personal care and service,2546,0.04935256261146003,16,clinton
10,Architecture and engineering,2219,0.043013879196712415,16,clinton
11,Administrative support,1751,0.03394200201597271,16,clinton
12,Community and social service,1232,0.023881522834767775,16,clinton
13,Transportation and material moving,472,0.009149414592540902,16,clinton
14,Production,338,0.0065519112972009,16,clinton
15,Healthcare support,311,0.006028533767542839,16,clinton
16,Protective service,256,0.0049623943552764204,16,clinton
17,Construction and extraction,236,0.004574707296270451,16,clinton
18,Food preparation and serving,172,0.0033341087074513455,16,clinton
19,Building and grounds maintenance,129,0.002500581530588509,16,clinton
20,"Installation, maintenance, repair",105,0.0020353570597813446,16,clinton
21,"Farming, fishing, forestry",5,9.692176475149259e-05,16,clinton
