,index,occgrpnm2,%,year,candidate
0,Management,322,0.17770419426048564,00,bush
1,Legal,300,0.16556291390728478,00,bush
2,Personal care and service,287,0.15838852097130243,00,bush
3,Healthcare practitioners,213,0.11754966887417219,00,bush
4,Business and financial,196,0.10816777041942605,00,bush
5,Sales and related,145,0.08002207505518764,00,bush
6,Architecture and engineering,110,0.06070640176600441,00,bush
7,"Life, physical, social science",48,0.026490066225165563,00,bush
8,"Education, training, library",46,0.025386313465783666,00,bush
9,Computer and mathematical,36,0.019867549668874173,00,bush
10,Arts and entertainment,28,0.01545253863134658,00,bush
11,Transportation and material moving,20,0.011037527593818985,00,bush
12,Construction and extraction,20,0.011037527593818985,00,bush
13,Administrative support,12,0.006622516556291391,00,bush
14,Protective service,7,0.003863134657836645,00,bush
15,Production,7,0.003863134657836645,00,bush
16,"Installation, maintenance, repair",6,0.0033112582781456954,00,bush
17,Community and social service,4,0.002207505518763797,00,bush
18,Food preparation and serving,2,0.0011037527593818985,00,bush
19,Healthcare support,1,0.0005518763796909492,00,bush
20,"Farming, fishing, forestry",1,0.0005518763796909492,00,bush
21,Building and grounds maintenance,1,0.0005518763796909492,00,bush
